Station,Start Time (UTC),End Time (UTC),Duration (min),Max Elevation (deg)
Kiruna,2026-04-29 06:35:05,2026-04-29 06:41:44,6.6,9.3
Svalbard,2026-04-29 06:36:02,2026-04-29 06:46:02,10.0,19.3
Gilmore Creek,2026-04-29 06:43:32,2026-04-29 06:54:30,11.0,30.2
Alaska Satellite Facility,2026-04-29 06:43:35,2026-04-29 06:54:34,11.0,30.2
North Pole,2026-04-29 06:43:35,2026-04-29 06:54:32,11.0,29.9
Awarua,2026-04-29 07:16:23,2026-04-29 07:26:55,10.5,22.8
McMurdo,2026-04-29 07:25:01,2026-04-29 07:36:14,11.2,28.1
Troll,2026-04-29 07:32:21,2026-04-29 07:44:41,12.3,89.1
Svalbard,2026-04-29 08:17:52,2026-04-29 08:25:42,7.8,11.6
Gilmore Creek,2026-04-29 08:22:02,2026-04-29 08:30:57,8.9,15.7
Alaska Satellite Facility,2026-04-29 08:22:06,2026-04-29 08:30:59,8.9,15.6
North Pole,2026-04-29 08:22:06,2026-04-29 08:30:57,8.8,15.4
Dongara,2026-04-29 08:53:20,2026-04-29 09:03:05,9.8,19.2
McMurdo,2026-04-29 09:06:16,2026-04-29 09:15:43,9.4,16.0
Troll,2026-04-29 09:11:06,2026-04-29 09:22:58,11.9,45.8
Santiago,2026-04-29 09:27:39,2026-04-29 09:32:59,5.3,7.7
Merrit Island,2026-04-29 09:44:22,2026-04-29 09:52:23,8.0,12.8
Ponce de Leon,2026-04-29 09:44:32,2026-04-29 09:52:33,8.0,12.8
Wallops,2026-04-29 09:44:50,2026-04-29 09:55:51,11.0,31.0
Gilmore Creek,2026-04-29 09:59:32,2026-04-29 10:07:31,8.0,12.7
